escenario,operacion,t_rel_s,latencia_ms,servicio_ms,espera_cola_ms,estado,bytes,error
oficina x245,panel en vivo,16.399,13.6,10.05,3.55,200,42,
oficina x245,panel en vivo,16.404,9.97,6.51,3.46,200,42,
oficina x245,resumen de video,16.409,5.56,4.56,1.0,200,13773,
oficina x245,panel en vivo,16.414,2.57,1.83,0.73,200,42,
oficina x245,panel en vivo,16.417,3.9,3.81,0.08,200,42,
oficina x245,eventos recientes,16.417,13.6,9.76,3.84,200,14691,
oficina x245,panel en vivo,16.419,9.77,4.57,5.2,200,42,
oficina x245,panel en vivo,16.419,11.39,9.84,1.55,200,42,
oficina x245,eventos recientes,16.421,3.62,2.45,1.16,200,14691,
oficina x245,resumen de video,16.424,10.16,9.6,0.56,200,13773,
oficina x245,estado del sistema,16.424,9.84,9.01,0.83,200,318,
oficina x245,estado del sistema,16.429,7.61,3.66,3.95,200,318,
oficina x245,eventos recientes,16.431,10.84,8.25,2.59,200,14691,
oficina x245,eventos recientes,16.431,2.79,2.47,0.32,200,14691,
oficina x245,panel en vivo,16.434,10.67,9.72,0.95,200,42,
oficina x245,eventos recientes,16.435,10.73,10.03,0.7,200,14691,
oficina x245,estado del sistema,16.436,10.2,9.6,0.59,200,318,
oficina x245,panel en vivo,16.438,5.94,5.4,0.53,200,42,
oficina x245,panel en vivo,16.439,19.37,16.3,3.07,200,42,
oficina x245,panel en vivo,16.439,19.01,14.32,4.69,200,42,
oficina x245,estado del sistema,16.44,3.48,3.11,0.36,200,318,
oficina x245,panel en vivo,16.443,2.8,2.44,0.36,200,42,
oficina x245,eventos recientes,16.445,11.67,10.21,1.46,200,14691,
oficina x245,resumen de video,16.447,13.65,13.02,0.63,200,13773,
oficina x245,eventos recientes,16.448,10.62,9.57,1.05,200,14691,
oficina x245,panel en vivo,16.454,10.24,5.73,4.5,200,42,
oficina x245,resumen de video,16.457,10.22,8.13,2.09,200,13773,
oficina x245,estado del sistema,16.459,12.36,11.18,1.18,200,318,
oficina x245,eventos recientes,16.461,7.43,5.92,1.51,200,14691,
oficina x245,resumen de video,16.464,20.78,18.74,2.03,200,13773,
oficina x245,estado del sistema,16.471,12.06,11.77,0.29,200,318,
oficina x245,eventos recientes,16.471,15.13,14.41,0.72,200,14691,
oficina x245,panel en vivo,16.471,8.22,6.99,1.23,200,42,
oficina x245,panel en vivo,16.472,10.88,10.36,0.51,200,42,
oficina x245,panel en vivo,16.474,11.91,11.71,0.2,200,42,
oficina x245,resumen de video,16.474,9.49,8.6,0.9,200,13773,
oficina x245,resumen de video,16.479,9.64,4.4,5.24,200,13773,
oficina x245,panel en vivo,16.487,3.56,3.35,0.21,200,42,
oficina x245,estado del sistema,16.487,3.96,3.56,0.41,200,318,
oficina x245,panel en vivo,16.489,4.19,2.06,2.12,200,42,
oficina x245,eventos recientes,16.498,8.04,7.07,0.97,200,14691,
oficina x245,panel en vivo,16.498,4.51,3.48,1.03,200,42,
oficina x245,panel en vivo,16.502,4.05,3.52,0.53,200,42,
oficina x245,abrir ficha,16.503,4.56,4.18,0.37,200,1045,
oficina x245,estado del sistema,16.508,7.54,7.17,0.37,200,318,
oficina x245,resumen de video,16.508,7.98,6.87,1.11,200,13773,
oficina x245,resumen de video,16.508,13.82,11.66,2.16,200,13773,
oficina x245,resumen de video,16.512,8.43,7.34,1.09,200,13773,
oficina x245,panel en vivo,16.513,7.59,7.18,0.4,200,42,
oficina x245,estado del sistema,16.517,6.08,2.65,3.43,200,318,
oficina x245,panel en vivo,16.522,7.88,7.44,0.44,200,42,
oficina x245,eventos recientes,16.524,6.76,6.57,0.2,200,14691,
oficina x245,panel en vivo,16.527,3.74,2.85,0.89,200,42,
oficina x245,panel en vivo,16.528,4.24,3.39,0.85,200,42,
oficina x245,panel en vivo,16.53,5.94,4.91,1.03,200,42,
oficina x245,panel en vivo,16.532,5.46,2.36,3.1,200,42,
oficina x245,panel en vivo,16.535,7.34,6.23,1.12,200,42,
oficina x245,eventos recientes,16.536,9.24,8.32,0.92,200,14691,
oficina x245,panel en vivo,16.539,6.27,5.18,1.09,200,42,
oficina x245,panel en vivo,16.541,3.67,3.0,0.67,200,42,
oficina x245,panel en vivo,16.544,2.5,1.96,0.54,200,42,
oficina x245,estado del sistema,16.544,4.61,2.87,1.74,200,318,
oficina x245,panel en vivo,16.545,3.09,2.53,0.56,200,42,
oficina x245,eventos recientes,16.548,3.39,2.68,0.71,200,14691,
oficina x245,resumen de video,16.559,7.24,5.51,1.73,200,13773,
oficina x245,panel en vivo,16.561,6.52,6.04,0.48,200,42,
