escenario,operacion,t_rel_s,latencia_ms,servicio_ms,espera_cola_ms,estado,bytes,error
sostenido 15rps,resumen,0.067,145.16,140.47,4.69,200,230,
sostenido 15rps,resumen,0.077,102.65,102.15,0.51,200,230,
sostenido 15rps,resumen,0.376,110.43,109.55,0.88,200,230,
sostenido 15rps,listar libreta,0.41,32.75,31.99,0.76,200,64669,
sostenido 15rps,buscar por texto,0.414,64.32,63.3,1.01,200,32236,
sostenido 15rps,buscar por texto,0.42,66.88,65.8,1.08,200,32224,
sostenido 15rps,filtrar,0.446,54.13,53.04,1.1,200,32297,
sostenido 15rps,buscar por texto,0.447,61.4,61.11,0.29,200,32332,
sostenido 15rps,listar libreta,0.522,23.18,22.31,0.87,200,64721,
sostenido 15rps,abrir ficha,0.745,13.99,13.29,0.7,200,1278,
sostenido 15rps,etiquetas,0.747,23.49,23.15,0.34,200,236,
sostenido 15rps,resumen,0.798,106.49,106.14,0.35,200,230,
sostenido 15rps,buscar por texto,0.824,48.17,47.76,0.42,200,32196,
sostenido 15rps,etiquetas,0.831,24.53,24.03,0.5,200,236,
sostenido 15rps,abrir ficha,0.832,12.28,12.04,0.25,200,1288,
sostenido 15rps,etiquetas,0.852,27.24,26.69,0.55,200,236,
sostenido 15rps,listar libreta,0.938,25.95,25.37,0.58,200,64586,
sostenido 15rps,resumen,0.958,106.57,105.45,1.11,200,230,
sostenido 15rps,listar libreta,1.034,25.91,23.99,1.92,200,64667,
sostenido 15rps,resumen,1.09,113.29,110.44,2.85,200,230,
sostenido 15rps,buscar por texto,1.107,73.54,71.81,1.73,200,32272,
sostenido 15rps,resumen,1.113,109.38,109.22,0.16,200,230,
sostenido 15rps,listar libreta,1.127,48.72,47.27,1.45,200,64667,
sostenido 15rps,resumen,1.264,102.37,101.7,0.67,200,230,
sostenido 15rps,buscar por texto,1.28,55.88,55.5,0.39,200,32075,
sostenido 15rps,resumen,1.532,104.36,103.06,1.31,200,230,
sostenido 15rps,etiquetas,1.575,22.04,21.42,0.62,200,236,
sostenido 15rps,resumen,1.629,103.2,102.32,0.88,200,230,
sostenido 15rps,filtrar,1.632,38.56,37.98,0.58,200,32448,
sostenido 15rps,abrir ficha,1.689,10.11,9.55,0.56,200,1294,
sostenido 15rps,listar libreta,1.798,27.04,24.99,2.05,200,64667,
sostenido 15rps,abrir ficha,1.859,12.9,12.43,0.47,200,1298,
sostenido 15rps,resumen,1.865,104.29,103.4,0.9,200,230,
sostenido 15rps,resumen,1.962,102.65,101.64,1.0,200,230,
sostenido 15rps,listar libreta,2.013,25.25,24.81,0.44,200,64669,
sostenido 15rps,buscar por texto,2.043,56.5,55.71,0.79,200,32272,
sostenido 15rps,abrir ficha,2.078,17.02,16.41,0.61,200,1292,
sostenido 15rps,listar libreta,2.133,25.83,24.74,1.09,200,64667,
sostenido 15rps,abrir ficha,2.322,13.88,13.19,0.69,200,1290,
sostenido 15rps,etiquetas,2.328,26.66,26.31,0.34,200,236,
sostenido 15rps,etiquetas,2.335,21.7,21.04,0.65,200,236,
sostenido 15rps,listar libreta,2.349,75.0,73.9,1.1,200,64669,
