escenario,operacion,t_rel_s,latencia_ms,servicio_ms,espera_cola_ms,estado,bytes,error
sostenido 20rps,resumen,3.788,582.51,581.98,0.53,200,230,
sostenido 20rps,historial de la ficha,3.818,749.57,749.34,0.23,200,9584,
sostenido 20rps,filtrar,3.831,934.06,933.49,0.57,200,32367,
sostenido 20rps,listar libreta,3.861,792.12,790.97,1.15,200,64721,
sostenido 20rps,resumen,3.881,515.73,513.79,1.94,200,230,
sostenido 20rps,resumen,3.947,626.67,626.19,0.48,200,230,
sostenido 20rps,listar libreta,3.953,781.75,781.53,0.22,200,64669,
sostenido 20rps,listar libreta,3.961,991.94,991.19,0.74,200,64721,
sostenido 20rps,listar libreta,3.983,953.84,952.92,0.93,200,64586,
sostenido 20rps,listar libreta,4.012,717.95,716.46,1.49,200,64721,
sostenido 20rps,abrir ficha,4.093,283.45,283.27,0.17,200,1267,
sostenido 20rps,etiquetas,4.095,178.38,177.9,0.48,200,236,
sostenido 20rps,resumen,4.22,385.36,384.82,0.54,200,230,
sostenido 20rps,etiquetas,4.307,100.36,97.99,2.38,200,236,
sostenido 20rps,filtrar,4.363,390.49,389.9,0.59,200,32367,
sostenido 20rps,resumen,4.458,310.61,308.71,1.9,200,230,
sostenido 20rps,etiquetas,4.506,123.38,122.65,0.73,200,236,
sostenido 20rps,listar libreta,4.576,482.23,481.49,0.75,200,64669,
sostenido 20rps,resumen,4.587,174.22,173.76,0.46,200,230,
sostenido 20rps,buscar por texto,4.66,339.84,338.84,1.01,200,32075,
sostenido 20rps,listar libreta,4.662,382.97,382.29,0.68,200,64667,
sostenido 20rps,abrir ficha,4.664,107.32,107.1,0.22,200,1275,
sostenido 20rps,listar libreta,4.845,282.89,282.47,0.42,200,64586,
sostenido 20rps,resumen,4.909,168.6,167.93,0.67,200,230,
sostenido 20rps,buscar por texto,4.919,193.62,191.48,2.14,200,32255,
sostenido 20rps,buscar por texto,5.009,345.4,344.18,1.21,200,32109,
sostenido 20rps,historial de la ficha,5.035,79.58,78.5,1.08,200,4101,
sostenido 20rps,resumen,5.118,295.67,294.57,1.11,200,230,
sostenido 20rps,etiquetas,5.152,190.07,189.24,0.83,200,236,
sostenido 20rps,buscar por texto,5.165,267.84,266.78,1.06,200,32272,
sostenido 20rps,etiquetas,5.181,173.83,172.85,0.97,200,236,
